,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
0,"[0.029004000000000002, 0.503239, 0.02816, 1.0118580000000001]","[1.0118580000000001, 0.503239, 0.029004000000000002, 0.02816]","[0.02816, 0.029004000000000002, 0.503239, 1.0118580000000001]",3.049716478024759,4.066288637366346,4.066288637366346,4.066288637366346,0.0,1.0118580000000001,0.02816,0.9836980000000002
1,"[0.503239, 0.02816, 1.0118580000000001, 0.671649]","[1.0118580000000001, 0.671649, 0.503239, 0.02816]","[0.02816, 0.503239, 0.671649, 1.0118580000000001]",3.049716478024759,4.066288637366346,4.066288637366346,4.066288637366346,0.0,1.0118580000000001,0.02816,0.9836980000000002
2,"[0.02816, 1.0118580000000001, 0.671649, 0.165214]","[1.0118580000000001, 0.671649, 0.165214, 0.02816]","[0.02816, 0.165214, 0.671649, 1.0118580000000001]",3.049716478024759,4.066288637366346,4.066288637366346,4.066288637366346,0.0,1.0118580000000001,0.02816,0.9836980000000002
3,"[1.0118580000000001, 0.671649, 0.165214, 0.0005920000000000001]","[1.0118580000000001, 0.671649, 0.165214, 0.0005920000000000001]","[0.0005920000000000001, 0.165214, 0.671649, 1.0118580000000001]",2.9665785263224507,3.9554380350966007,3.9554380350966007,3.9554380350966007,0.0,1.0118580000000001,0.0005920000000000001,1.0112660000000002
4,"[0.671649, 0.165214, 0.0005920000000000001, 0.004077]","[0.671649, 0.165214, 0.004077, 0.0005920000000000001]","[0.0005920000000000001, 0.004077, 0.165214, 0.671649]",5.960745510440991,5.960745510440991,5.960745510440991,5.960745510440991,0.0,0.671649,0.0005920000000000001,0.671057
5,"[0.165214, 0.0005920000000000001, 0.004077, 0.003771]","[0.165214, 0.004077, 0.003771, 0.0005920000000000001]","[0.0005920000000000001, 0.003771, 0.004077, 0.165214]",24.298088955303665,24.298088955303665,24.298088955303665,24.298088955303665,0.0,0.165214,0.0005920000000000001,0.164622
6,"[0.0005920000000000001, 0.004077, 0.003771, 0.000279]","[0.004077, 0.003771, 0.0005920000000000001, 0.000279]","[0.000279, 0.0005920000000000001, 0.003771, 0.004077]",1053.18588730911,1053.18588730911,1053.18588730911,1053.18588730911,0.0,0.004077,0.000279,0.0037979999999999997
7,"[0.004077, 0.003771, 0.000279, 0.8609880000000001]","[0.8609880000000001, 0.004077, 0.003771, 0.000279]","[0.000279, 0.003771, 0.004077, 0.8609880000000001]",4.647331444193101,4.647331444193101,4.647331444193101,4.647331444193101,0.0,0.8609880000000001,0.000279,0.8607090000000001
8,"[0.003771, 0.000279, 0.8609880000000001, 0.015130000000000001]","[0.8609880000000001, 0.015130000000000001, 0.003771, 0.000279]","[0.000279, 0.003771, 0.015130000000000001, 0.8609880000000001]",4.647331444193101,4.647331444193101,4.647331444193101,4.647331444193101,0.0,0.8609880000000001,0.000279,0.8607090000000001
9,"[0.000279, 0.8609880000000001, 0.015130000000000001, 0.015868]","[0.8609880000000001, 0.015868, 0.015130000000000001, 0.000279]","[0.000279, 0.015130000000000001, 0.015868, 0.8609880000000001]",4.647331444193101,4.647331444193101,4.647331444193101,4.647331444193101,0.0,0.8609880000000001,0.000279,0.8607090000000001
10,"[0.8609880000000001, 0.015130000000000001, 0.015868, 0.019553]","[0.8609880000000001, 0.019553, 0.015868, 0.015130000000000001]","[0.015130000000000001, 0.015868, 0.019553, 0.8609880000000001]",4.728926131809358,4.728926131809358,4.728926131809358,4.728926131809358,0.0,0.8609880000000001,0.015130000000000001,0.8458580000000001
11,"[0.015130000000000001, 0.015868, 0.019553, 1.0156690000000002]","[1.0156690000000002, 0.019553, 0.015868, 0.015130000000000001]","[0.015130000000000001, 0.015868, 0.019553, 1.0156690000000002]",2.9983838710934805,3.997845161457974,3.997845161457974,3.997845161457974,0.0,1.0156690000000002,0.015130000000000001,1.000539
12,"[0.015868, 0.019553, 1.0156690000000002, 0.011976]","[1.0156690000000002, 0.019553, 0.015868, 0.011976]","[0.011976, 0.015868, 0.019553, 1.0156690000000002]",2.988961764204791,3.985282352273055,3.985282352273055,3.985282352273055,0.0,1.0156690000000002,0.011976,1.0036930000000002
13,"[0.019553, 1.0156690000000002, 0.011976, 0.015955]","[1.0156690000000002, 0.019553, 0.015955, 0.011976]","[0.011976, 0.015955, 0.019553, 1.0156690000000002]",2.988961764204791,3.985282352273055,3.985282352273055,3.985282352273055,0.0,1.0156690000000002,0.011976,1.0036930000000002
14,"[1.0156690000000002, 0.011976, 0.015955, 0.018294]","[1.0156690000000002, 0.018294, 0.015955, 0.011976]","[0.011976, 0.015955, 0.018294, 1.0156690000000002]",2.988961764204791,3.985282352273055,3.985282352273055,3.985282352273055,0.0,1.0156690000000002,0.011976,1.0036930000000002
15,"[0.011976, 0.015955, 0.018294, -0.007884]","[0.018294, 0.015955, 0.011976, -0.007884]","[-0.007884, 0.011976, 0.015955, 0.018294]",152.80006112002445,152.80006112002445,152.80006112002445,152.80006112002445,0.0,0.018294,-0.007884,0.026178
16,"[0.015955, 0.018294, -0.007884, 1.0010160000000001]","[1.0010160000000001, 0.018294, 0.015955, -0.007884]","[-0.007884, 0.015955, 0.018294, 1.0010160000000001]",2.973535533749628,3.964714044999504,3.964714044999504,3.964714044999504,0.0,1.0010160000000001,-0.007884,1.0089000000000001
17,"[0.018294, -0.007884, 1.0010160000000001, 0.17345200000000002]","[1.0010160000000001, 0.17345200000000002, 0.018294, -0.007884]","[-0.007884, 0.018294, 0.17345200000000002, 1.0010160000000001]",2.973535533749628,3.964714044999504,3.964714044999504,3.964714044999504,0.0,1.0010160000000001,-0.007884,1.0089000000000001
18,"[-0.007884, 1.0010160000000001, 0.17345200000000002, 0.00044800000000000005]","[1.0010160000000001, 0.17345200000000002, 0.00044800000000000005, -0.007884]","[-0.007884, 0.00044800000000000005, 0.17345200000000002, 1.0010160000000001]",2.973535533749628,3.964714044999504,3.964714044999504,3.964714044999504,0.0,1.0010160000000001,-0.007884,1.0089000000000001
19,"[1.0010160000000001, 0.17345200000000002, 0.00044800000000000005, 0.050279000000000004]","[1.0010160000000001, 0.17345200000000002, 0.050279000000000004, 0.00044800000000000005]","[0.00044800000000000005, 0.050279000000000004, 0.17345200000000002, 1.0010160000000001]",2.9982969673225606,3.997729289763414,3.997729289763414,3.997729289763414,0.0,1.0010160000000001,0.00044800000000000005,1.0005680000000001
20,"[0.17345200000000002, 0.00044800000000000005, 0.050279000000000004, 0.883986]","[0.883986, 0.17345200000000002, 0.050279000000000004, 0.00044800000000000005]","[0.00044800000000000005, 0.050279000000000004, 0.17345200000000002, 0.883986]",4.5272529308303655,4.5272529308303655,4.5272529308303655,4.5272529308303655,0.0,0.883986,0.00044800000000000005,0.883538
21,"[0.00044800000000000005, 0.050279000000000004, 0.883986, 0.10327700000000001]","[0.883986, 0.10327700000000001, 0.050279000000000004, 0.00044800000000000005]","[0.00044800000000000005, 0.050279000000000004, 0.10327700000000001, 0.883986]",4.5272529308303655,4.5272529308303655,4.5272529308303655,4.5272529308303655,0.0,0.883986,0.00044800000000000005,0.883538
22,"[0.050279000000000004, 0.883986, 0.10327700000000001, 0.006583]","[0.883986, 0.10327700000000001, 0.050279000000000004, 0.006583]","[0.006583, 0.050279000000000004, 0.10327700000000001, 0.883986]",4.558908506125463,4.558908506125463,4.558908506125463,4.558908506125463,0.0,0.883986,0.006583,0.877403
23,"[0.883986, 0.10327700000000001, 0.006583, 0.000114]","[0.883986, 0.10327700000000001, 0.006583, 0.000114]","[0.000114, 0.006583, 0.10327700000000001, 0.883986]",4.525542159950762,4.525542159950762,4.525542159950762,4.525542159950762,0.0,0.883986,0.000114,0.8838720000000001
24,"[0.10327700000000001, 0.006583, 0.000114, 0.00017]","[0.10327700000000001, 0.006583, 0.00017, 0.000114]","[0.000114, 0.00017, 0.006583, 0.10327700000000001]",38.773591306960824,38.773591306960824,38.773591306960824,38.773591306960824,0.0,0.10327700000000001,0.000114,0.103163
