,time_interval,max_deltas,min_deltas,ratio_of_deltas_A,ratio_of_deltas_B,ratio_of_deltas_C,ratio_of_deltas_D,ratio_of_deltas_E,max_time_interval,min_time_interval,interval_length
0,"[6065.0, 11535.0, 4168.0, 1712.0]","[11535.0, 6065.0, 4168.0, 1712.0]","[1712.0, 4168.0, 6065.0, 11535.0]",0.0,0.0,0.0,0.0,0.00040720757406087753,11535.0,1712.0,9823.0
1,"[11535.0, 4168.0, 1712.0, 3217.0]","[11535.0, 4168.0, 3217.0, 1712.0]","[1712.0, 3217.0, 4168.0, 11535.0]",0.0,0.0,0.0,0.0,0.00040720757406087753,11535.0,1712.0,9823.0
2,"[4168.0, 1712.0, 3217.0, 617.0]","[4168.0, 3217.0, 1712.0, 617.0]","[617.0, 1712.0, 3217.0, 4168.0]",0.0,0.0,0.0,0.0,0.001126443255421008,4168.0,617.0,3551.0
3,"[1712.0, 3217.0, 617.0, 534.0]","[3217.0, 1712.0, 617.0, 534.0]","[534.0, 617.0, 1712.0, 3217.0]",0.0,0.0,0.0,0.0,0.0014908684308609765,3217.0,534.0,2683.0
4,"[3217.0, 617.0, 534.0, 130.0]","[3217.0, 617.0, 534.0, 130.0]","[130.0, 534.0, 617.0, 3217.0]",0.0,0.0,0.0,0.0,0.0012957563977972141,3217.0,130.0,3087.0
5,"[617.0, 534.0, 130.0, 1428.0]","[1428.0, 617.0, 534.0, 130.0]","[130.0, 534.0, 617.0, 1428.0]",0.0,0.0,0.0,0.0,0.0030816640986132513,1428.0,130.0,1298.0
6,"[534.0, 130.0, 1428.0, 830.0]","[1428.0, 830.0, 534.0, 130.0]","[130.0, 534.0, 830.0, 1428.0]",0.0,0.0,0.0,0.0,0.0030816640986132513,1428.0,130.0,1298.0
7,"[130.0, 1428.0, 830.0, 1089.0]","[1428.0, 1089.0, 830.0, 130.0]","[130.0, 830.0, 1089.0, 1428.0]",0.0,0.0,0.0,0.0,0.0030816640986132513,1428.0,130.0,1298.0
8,"[1428.0, 830.0, 1089.0, 54934.0]","[54934.0, 1428.0, 1089.0, 830.0]","[830.0, 1089.0, 1428.0, 54934.0]",0.0,0.0,0.0,0.0,7.39316871211001e-05,54934.0,830.0,54104.0
9,"[830.0, 1089.0, 54934.0, 849.0]","[54934.0, 1089.0, 849.0, 830.0]","[830.0, 849.0, 1089.0, 54934.0]",0.0,0.0,0.0,0.0,7.39316871211001e-05,54934.0,830.0,54104.0
10,"[1089.0, 54934.0, 849.0, 69.0]","[54934.0, 1089.0, 849.0, 69.0]","[69.0, 849.0, 1089.0, 54934.0]",0.0,0.0,0.0,0.0,5.467966827667912e-05,54934.0,69.0,54865.0
11,"[54934.0, 849.0, 69.0, 124.00000000000001]","[54934.0, 849.0, 124.00000000000001, 69.0]","[69.0, 124.00000000000001, 849.0, 54934.0]",0.0,0.0,0.0,0.0,5.467966827667912e-05,54934.0,69.0,54865.0
12,"[849.0, 69.0, 124.00000000000001, 1611.0]","[1611.0, 849.0, 124.00000000000001, 69.0]","[69.0, 124.00000000000001, 849.0, 1611.0]",0.0,0.0,0.0,0.0,0.0019455252918287938,1611.0,69.0,1542.0
13,"[69.0, 124.00000000000001, 1611.0, 1669.0]","[1669.0, 1611.0, 124.00000000000001, 69.0]","[69.0, 124.00000000000001, 1611.0, 1669.0]",0.0,0.0,0.0,0.0,0.001875,1669.0,69.0,1600.0
14,"[124.00000000000001, 1611.0, 1669.0, 1536.0]","[1669.0, 1611.0, 1536.0, 124.00000000000001]","[124.00000000000001, 1536.0, 1611.0, 1669.0]",0.0,0.0,0.0,0.0,0.0025889967637540453,1669.0,124.00000000000001,1545.0
15,"[1611.0, 1669.0, 1536.0, 1378.0]","[1669.0, 1611.0, 1536.0, 1378.0]","[1378.0, 1536.0, 1611.0, 1669.0]",0.0,0.0,0.0,0.0,0.013745704467353952,1669.0,1378.0,291.0
16,"[1669.0, 1536.0, 1378.0, 5041.0]","[5041.0, 1669.0, 1536.0, 1378.0]","[1378.0, 1536.0, 1669.0, 5041.0]",0.0,0.0,0.0,0.0,0.001092001092001092,5041.0,1378.0,3663.0
17,"[1536.0, 1378.0, 5041.0, 578.0]","[5041.0, 1536.0, 1378.0, 578.0]","[578.0, 1378.0, 1536.0, 5041.0]",0.0,0.0,0.0,0.0,0.0008962581223392337,5041.0,578.0,4463.0
18,"[1378.0, 5041.0, 578.0, 1230.0]","[5041.0, 1378.0, 1230.0, 578.0]","[578.0, 1230.0, 1378.0, 5041.0]",0.0,0.0,0.0,0.0,0.0008962581223392337,5041.0,578.0,4463.0
19,"[5041.0, 578.0, 1230.0, 1339.0]","[5041.0, 1339.0, 1230.0, 578.0]","[578.0, 1230.0, 1339.0, 5041.0]",0.0,0.0,0.0,0.0,0.0008962581223392337,5041.0,578.0,4463.0
20,"[578.0, 1230.0, 1339.0, 5918.0]","[5918.0, 1339.0, 1230.0, 578.0]","[578.0, 1230.0, 1339.0, 5918.0]",0.0,0.0,0.0,0.0,0.000749063670411985,5918.0,578.0,5340.0
21,"[1230.0, 1339.0, 5918.0, 572.0]","[5918.0, 1339.0, 1230.0, 572.0]","[572.0, 1230.0, 1339.0, 5918.0]",0.0,0.0,0.0,0.0,0.0007482229704451926,5918.0,572.0,5346.0
22,"[1339.0, 5918.0, 572.0, 6894.0]","[6894.0, 5918.0, 1339.0, 572.0]","[572.0, 1339.0, 5918.0, 6894.0]",0.0,0.0,0.0,0.0,0.0006327111673521037,6894.0,572.0,6322.0
23,"[5918.0, 572.0, 6894.0, 1074.0]","[6894.0, 5918.0, 1074.0, 572.0]","[572.0, 1074.0, 5918.0, 6894.0]",0.0,0.0,0.0,0.0,0.0006327111673521037,6894.0,572.0,6322.0
